anime_id,title_roman,title_en,title_jp,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
8897,Ganbare! Marine Kid,Marine Boy,がんばれ！マリンキッド,Hang On! Marine Kid,https://cdn.myanimelist.net/images/anime/9/24675.jpg,TV,Unknown,13,Finished Airing,False,"Oct 6, 1966 to Dec 26, 1966","{'from': '1966-10-06', 'to': '1966-12-26'}",25 min. per ep.,PG - Children,5.48,33,10175,11287,196,0,,Fall 1966,Unknown,"{'Prequel': [{'mal_id': 8879, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8879/Dolphin_Ouji', 'title': 'Dolphin Ouji'}], 'Sequel': [{'mal_id': 8899, 'type': 'anime', 'url': 'https://myanimelist.net/anime/8899/Kaitei_Shounen_Marine', 'title': 'Kaitei Shounen Marine'}]}","TBS, Tele-Cartoon Japan",,,"Action, Adventure, Sci-Fi, Kids",[],[]
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,Kanojo x Kanojo x Kanojo,彼女×彼女×彼女～三姉妹とのドキドキ共同生活～,,https://cdn.myanimelist.net/images/anime/2/17720.jpg,OVA,Visual novel,3,Finished Airing,False,"Dec 25, 2009 to May 20, 2011","{'from': '2009-12-25', 'to': '2011-05-20'}",29 min. per ep.,Rx - Hentai,7.53,10221,,2596,21169,326,"In 2013, the 3 episodes were released as a movie with approximately 1 minute of new content.",,,[],"Milky Animation Label, MS Pictures",Kitty Media,Studio Eromatick,"Harem, Hentai",[],[]
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,,ドクタースランプ ほよよ！アラレの秘密大公開だよ！！,,https://cdn.myanimelist.net/images/anime/13/72853.jpg,Special,Manga,1,Finished Airing,False,"Sep 15, 1999","{'from': '1999-09-15', 'to': '1999-09-15'}",24 min.,PG-13 - Teens 13 or older,6.03,98,7277,9732,445,0,,,,"{'Character': [{'mal_id': 223, 'type': 'anime', 'url': 'https://myanimelist.net/anime/223/Dragon_Ball', 'title': 'Dragon Ball'}], 'Parent story': [{'mal_id': 3312, 'type': 'anime', 'url': 'https://myanimelist.net/anime/3312/Dr_Slump', 'title': 'Dr. Slump'}]}",,,Toei Animation,"Comedy, Sci-Fi, Shounen","['""Arale! Parale!"" by Dr. Slump All Stars']",[]
34859,Tick Tock,,Tick Tock,"Pollarstars, Final Frontier, MARU-108",https://cdn.myanimelist.net/images/anime/6/84139.jpg,Music,Music,1,Finished Airing,False,"Jul 25, 2012","{'from': '2012-07-25', 'to': '2012-07-25'}",2 min.,G - All Ages,4.25,24,12435,13990,49,0,,,,[],,,,Music,[],[]
5154,Kanzen Mushusei: Sorezore no Houkago,,完全無修正 それぞれの放課後,,https://cdn.myanimelist.net/images/anime/8/10170.jpg,OVA,Unknown,1,Finished Airing,False,"Nov 18, 2002","{'from': '2002-11-18', 'to': '2002-11-18'}",30 min.,Rx - Hentai,5.46,198,,8915,707,1,,,,[],Five Ways,,,"Hentai, School",[],[]
35139,Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,,クレヨンしんちゃん×パンパカパンツ　イオンシネママナームービーコラボ,,https://cdn.myanimelist.net/images/anime/8/84745.jpg,ONA,Original,1,Finished Airing,False,"Mar 17, 2017","{'from': '2017-03-17', 'to': '2017-03-17'}",55 sec.,G - All Ages,5.36,47,9927,11317,193,0,,,,"{'Other': [{'mal_id': 32842, 'type': 'anime', 'url': 'https://myanimelist.net/anime/32842/Panpaka_Pants', 'title': 'Panpaka Pants'}, {'mal_id': 34244, 'type': 'anime', 'url': 'https://myanimelist.net/anime/34244/Crayon_Shin-chan_Movie_25__Shin-chan_Shuurai_Uchuujin_Shiriri', 'title': 'Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri'}], 'Alternative version': [{'mal_id': 37028, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37028/Panpaka_Pants_x_Lala-chan', 'title': 'Panpaka Pants x Lala-chan'}]}",,,"Shin-Ei Animation, DLE",Comedy,[],[]
1388,Yakin Byoutou Ni,,夜勤病棟・弐,"Night Shift Nurses 2, Yakin Byoutou 2, NSN 2",https://cdn.myanimelist.net/images/anime/10/44273.jpg,OVA,Visual novel,5,Finished Airing,False,"Jul 30, 2004 to Jan 27, 2006","{'from': '2004-07-30', 'to': '2006-01-27'}",30 min. per ep.,Rx - Hentai,6.3,1220,,5705,3376,5,,,,"{'Adaptation': [{'mal_id': 96869, 'type': 'manga', 'url': 'https://myanimelist.net/manga/96869/Yakin_Byoutou_2', 'title': 'Yakin Byoutou 2'}], 'Prequel': [{'mal_id': 1387, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1387/Yakin_Byoutou', 'title': 'Yakin Byoutou'}], 'Sequel': [{'mal_id': 1389, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1389/Yakin_Byoutou_San', 'title': 'Yakin Byoutou San'}], 'Other': [{'mal_id': 2868, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2868/Kazama_Mana', 'title': 'Kazama Mana'}]}","D3, Discovery",,AT-2,Hentai,"['""Last Scene"" by Ai Kodoma']","['""Jikan no Meikyu"" by Ren Nanase']"
22,Tennis no Ouji-sama,The Prince of Tennis,テニスの王子様,,https://cdn.myanimelist.net/images/anime/6/21624.jpg,TV,Manga,178,Finished Airing,False,"Oct 10, 2001 to Mar 23, 2005","{'from': '2001-10-10', 'to': '2005-03-23'}",22 min. per ep.,PG-13 - Teens 13 or older,8.01,48149,550,806,107492,2833,"Since 2003, there has been a bi-annual musical that features different story arcs of the series. There also been a live action film based on the franchise.Prince of Tennis also has a lot of video game adaptations, a few Chinese dramas and a radio show based on the series. ",Fall 2001,Unknown,"{'Adaptation': [{'mal_id': 49, 'type': 'manga', 'url': 'https://myanimelist.net/manga/49/Tennis_no_Ouji-sama', 'title': 'Tennis no Ouji-sama'}], 'Side story': [{'mal_id': 814, 'type': 'anime', 'url': 'https://myanimelist.net/anime/814/Tennis_no_Ouji-sama__Atobe_kara_no_Okurimono_-_Kimi_ni_Sasageru_Tennis_Prince_Matsuri', 'title': 'Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri'}, {'mal_id': 815, 'type': 'anime', 'url': 'https://myanimelist.net/anime/815/Tennis_no_Ouji-sama_Movie_1__Futari_no_Samurai_-_The_First_Game', 'title': 'Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game'}, {'mal_id': 1190, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1190/Tennis_no_Ouji-sama__Sonzoku_Yama_no_Hi', 'title': 'Tennis no Ouji-sama: Sonzoku Yama no Hi'}, {'mal_id': 5996, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5996/Tennis_no_Ouji-sama__Oshougatsu_Special', 'title': 'Tennis no Ouji-sama: Oshougatsu Special'}, {'mal_id': 10731, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10731/Tennis_no_Ouji-sama_Movie_2__Eikokushiki_Teikyuu_Shiro_Kessen', 'title': 'Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!'}, {'mal_id': 10862, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10862/Tennis_no_Ouji-sama__Pair_Prince', 'title': 'Tennis no Ouji-sama: Pair Prince'}, {'mal_id': 29697, 'type': 'anime', 'url': 'https://myanimelist.net/anime/29697/Tennis_no_Ouji-sama__Message_in_a_Bottle', 'title': 'Tennis no Ouji-sama: Message in a Bottle'}], 'Sequel': [{'mal_id': 995, 'type': 'anime', 'url': 'https://myanimelist.net/anime/995/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen', 'title': 'Tennis no Ouji-sama: Zenkoku Taikai-hen'}], 'Other': [{'mal_id': 6749, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6749/Tennis_no_Ouji-sama__The_Band_of_Princes_Film_Kick_the_Future', 'title': 'Tennis no Ouji-sama: The Band of Princes Film Kick the Future'}, {'mal_id': 10276, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10276/Tennis_no_Ouji-sama__Mini_Theater', 'title': 'Tennis no Ouji-sama: Mini Theater'}], 'Alternative version': [{'mal_id': 36952, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36952/Tennis_no_Ouji-sama__Best_Games', 'title': 'Tennis no Ouji-sama: Best Games!!'}]}","Production I.G, Nihon Ad Systems",Viz Media,Trans Arts,"Action, Comedy, Sports, School, Shounen","['#1: ""Future"" by Hiro-X (eps 1-26)', '#2: ""Driving Myself"" by Hiro-X (eps 27-53)', '#3: ""Make You Free"" by Kimeru (male version), hisoca (female version) (eps 54-75)', '#4: ""Long Way"" by Ikuo (eps 76-101)', '#5: ""Fly High"" by Toshihiko Matsunaga (eps 102-128)', '#6: ""Shining"" by Yuki Shirai (eps 129-153)', '#7: ""Paradise"" by Yuki Shirai (eps 154-165)', '#8: ""Dream Believer"" by Osami Masaki (eps 166-178)']","['#1: ""You Got Game"" by Kimeru (eps 1-26)', '#2: ""Keep Your Style"" by Masataka Fujishige (eps 27-35, 38-39, 41-47, 49-53)', '#3: ""Walk On"" by Masataka Fujishige (eps 36-37, 40, 48)', '#4: ""White Line"" by Aozu (eps 54-75)', '#5: ""Kaze no Tabibito"" by Fureai (eps 76-101)', '#6: ""Sakura"" by Yomu Hamaguchi (eps 102-140)', '#7: ""Wonderful Days"" by Pull Tab to Can (eps 141-165)', '#8: ""Little Sky"" by Kentaro Fukushi (eps 166-178)']"
2953,Egao,,笑顔,"Smile, Minna no Uta",https://cdn.myanimelist.net/images/anime/6/68979.jpg,Music,Original,1,Finished Airing,False,"Apr, 2003","{'from': None, 'to': None}",2 min.,G - All Ages,6.66,6516,4925,3664,10113,5,,,,[],,,,"Music, Slice of Life, Kids",[],[]
32219,Raldessia Chronicles,Raldessia Chronicles,ラルディシア クロニクル,,https://cdn.myanimelist.net/images/anime/4/77367.jpg,ONA,Game,1,Finished Airing,False,"May 20, 2013","{'from': '2013-05-20', 'to': '2013-05-20'}",46 sec.,G - All Ages,5.38,63,8573,11414,188,0,,,,"{'Other': [{'mal_id': 25943, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25943/Hacka_Doll', 'title': 'Hacka Doll'}, {'mal_id': 25991, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25991/Bishoujo_Mobage__Mobami-chan', 'title': 'Bishoujo Mobage: Mobami-chan'}]}",DeNA,,,"Action, Adventure",[],[]
1016,Gunnm,Battle Angel Alita,銃夢 GUNNM,"Ganmu, Tsutsu Yume: Gunnm, Battle Angel, Hyper Future Vision: Gunnm",https://cdn.myanimelist.net/images/anime/11/41257.jpg,OVA,Manga,2,Finished Airing,False,"Jun 21, 1993 to Aug 21, 1993","{'from': '1993-06-21', 'to': '1993-08-21'}",30 min. per ep.,R+ - Mild Nudity,7.22,14625,2719,2150,29153,131,,,,"{'Adaptation': [{'mal_id': 768, 'type': 'manga', 'url': 'https://myanimelist.net/manga/768/Gunnm', 'title': 'Gunnm'}], 'Other': [{'mal_id': 17659, 'type': 'anime', 'url': 'https://myanimelist.net/anime/17659/Gunnm_3D_Special', 'title': 'Gunnm 3D Special'}]}","Animate Film, Movic",ADV Films,Madhouse,"Drama, Mecha, Sci-Fi, Shounen",[],"['""Cyborg Mermaid"" by Kaori Akima']"
35505,Velvet Underworld: Alternative,,VELVET UNDERWORLD ALTERNATIVE,,https://cdn.myanimelist.net/images/anime/6/85581.jpg,Music,Original,1,Finished Airing,False,2007,"{'from': None, 'to': None}",3 min.,PG-13 - Teens 13 or older,4.8,41,12611,12185,138,0,,,,"{'Other': [{'mal_id': 35504, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35504/Velvet_Underworld__Fragment_Person', 'title': 'Velvet Underworld: Fragment Person'}]}",,,,"Action, Music",[],[]
